id,income
50001,20550.621
50002,19227.238
50003,23266.346
50004,20409.795
50005,26100.303
50006,24049.275
50007,24334.46
50008,35424.984
50009,22386.393
50010,56470.15
50011,23136.715
50012,21952.273
50013,43703.004
50014,35024.64
50015,44264.527
50016,22474.826
50017,30988.863
50018,34654.703
50019,20217.295
50020,26818.951
50021,17961.727
50022,50815.05
50023,22390.133
50024,30091.783
50025,16912.56
50026,86642.695
50027,23427.562
50028,21159.307
50029,23793.855
50030,24496.357
50031,18441.822
50032,50593.45
50033,24334.46
50034,19225.354
50035,46457.844
50036,21643.752
50037,29545.06
50038,19058.477
50039,27525.156
50040,22975.512
50041,41922.805
50042,30641.354
50043,18860.252
50044,20852.738
50045,22155.203
50046,23187.672
50047,35759.914
50048,20717.375
50049,26813.262
50050,31568.725
50051,30210.697
50052,44887.96
50053,33770.305
50054,56755.414
50055,31735.428
50056,27292.11
50057,23169.033
50058,17359.537
50059,17257.38
50060,34117.953
50061,37377.72
50062,56515.523
50063,28514.006
50064,22887.889
50065,27779.443
50066,26619.436
50067,73008.35
50068,25201.543
50069,20506.854
50070,25022.043
50071,22727.535
50072,18390.18
50073,23834.77
50074,23150.395
50075,24835.473
50076,21040.896
50077,44211.24
50078,63196.805
50079,38701.723
50080,60290.09
50081,22064.83
50082,21003.207
50083,26771.967
50084,26813.262
50085,21228.861
50086,53029.67
50087,21516.574
50088,35593.004
50089,68123.33
50090,18403.352
50091,21468.193
50092,23713.986
50093,27731.896
50094,21357.578
50095,29322.38
50096,26506.842
50097,19171.938
50098,28997.994
50099,18050.834
50100,24291.627
50101,20393.576
50102,55661.777
50103,20425.25
50104,22069.393
50105,24732.78
50106,29562.049
50107,38179.2
50108,44321.766
50109,29453.406
50110,26331.912
50111,35887.785
50112,20146.672
50113,54436.285
50114,20043.055
50115,38190.75
50116,83621.266
50117,20941.139
50118,17833.652
50119,23574.979
50120,31595.338
50121,21455.754
50122,51243.65
50123,47356.477
50124,17668.037
50125,78673.39
50126,31650.438
50127,19808.596
50128,17238.678
50129,32244.947
50130,23110.113
50131,17833.652
50132,24334.46
50133,44311.355
50134,19609.125
50135,22582.139
50136,43469.547
50137,18441.822
50138,20630.34
50139,33963.656
50140,87488.484
50141,25720.115
50142,37573.37
50143,26726.38
50144,28067.812
50145,19542.506
50146,30210.697
50147,51732.848
50148,25295.592
50149,20101.418
50150,51503.887
50151,18585.559
50152,27116.285
50153,25319.203
50154,57611.152
50155,19808.596
50156,30303.178
50157,24492.67
50158,64401.023
50159,27132.383
50160,24334.46
50161,28406.197
50162,25312.854
50163,18860.252
50164,21672.01
50165,66524.71
50166,17042.574
50167,16799.535
50168,18403.352
50169,31186.354
50170,22609.482
50171,46855.914
50172,17833.652
50173,35073.918
50174,25201.543
50175,26619.436
50176,23984.107
